ORDER_ID,CUSTOMER_ID,ORDER_DATE,ORDER_AMOUNT,ORDER_STATUS
O1001,C001,2025-11-10,1299.00,COMPLETED
O1002,C002,2025-11-11,899.50,COMPLETED
O1003,C003,2025-11-12,450.00,SHIPPED
O1004,C004,2027-01-15,1500.00,COMPLETED
O1005,C005,2025-11-14,-250.00,COMPLETED
O1006,C999,2025-11-15,675.00,SHIPPED
O1007,,2025-11-16,320.00,PENDING
O1008,C008,2025-11-17,1100.00,COMPLETED
O1008,C008,2025-11-17,1100.00,COMPLETED
O1009,C010,2028-06-01,540.00,PENDING
O1010,C888,2025-11-19,760.00,SHIPPED
O1011,C012,2025-11-20,-99.00,COMPLETED
O1012,C015,2025-11-21,1450.00,COMPLETED
O1013,C002,2025-11-22,230.00,CANCELLED
O1014,C777,2025-11-23,880.00,COMPLETED
